run_id,check_id,frozen_value,status
20A_paper_lineage_data_and_replication_contract,family_id,B2_relative_strength_breakout,pass
20A_paper_lineage_data_and_replication_contract,grid_cell_id,B2-relative-strength-breakout__182b3d0f30f5,pass
20A_paper_lineage_data_and_replication_contract,parameter_hash,182b3d0f30f5c407544f209b2597ca6959a1ad8e8f94d6957345c7931da6e1a2,pass
20A_paper_lineage_data_and_replication_contract,grid_manifest_hash,35dbe37d055bb1bde40aa6482e6f8359d286f6c0ce318e779acd6f03e7e04cba,pass
20A_paper_lineage_data_and_replication_contract,feature_map_hash,2ab33236368bcbf6fd980459a44efba9ad91833e7cbfd7d4fe5a5ad60b6bdcf3,pass
20A_paper_lineage_data_and_replication_contract,feature_PIT_guard,nonempty,pass
20A_paper_lineage_data_and_replication_contract,daily_reference_cooldown,10 sessions,pass
20A_paper_lineage_data_and_replication_contract,daily_reference_entry,next executable open,pass
20A_paper_lineage_data_and_replication_contract,R2_same_date_candidate_p70,linear; remove_equal_threshold; no cross-date estimation,pass
20A_paper_lineage_data_and_replication_contract,EP19_effect_size_transfer_allowed,False,pass
